uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
202388889	0.00025371969913413043	0.006696497138117813	0.008604537317662189	0.04087653325313068	0.0005807330638136293	0	0	0	0
1392518336	0.0002876291565539526	0.0028567625405731957	0.017520596305153187	0.013762162100032374	0.002456947577673047	0	0	0	0
361208576	0.00015247231208629259	0.001969357211362884	0.007124128216143361	0.0021857776943397743	0.0006254048379531394	0	0	0	0
1535215357	0.0005714104314148757	0.008314305315216612	0.17069843521666195	0.1688776673288494	0.0015188403207433384	0	0	0	0
4396196375	0.0002996537868446697	0.0033107044974384704	0.033564416414558144	0.051839903756817386	0.001675191530231623	0	0	0	0
17938477	8.03245303419901e-05	0.00170654871001983	0.004965273961965293	0.01541155263011699	0.0012508096759062787	0	0	1	0
720288026681716737	1.7315467618632597e-05	0.00023891681940277622	0.008699901094140395	7.087973241943177e-05	0.001943222175068683	1	0	0	0
174004739	8.826078633386338e-05	0.006413210052254522	0.051227604271207317	0.2546287338772555	0.0006254048379531394	0	0	0	0
53783678	0.00018325536563052833	0.0036997976033229917	0.03583316606829681	0.13376154908613036	0.0011838020146970136	0	0	0	0
257662370	0.00018469832126541438	0.004703248244814651	0.017483359021004553	0.01804368107185481	0.0006477407250228943	0	0	0	0
4795355113	6.878088526290171e-05	0.001385717552536102	0.0007038754930534301	0.0007988337410514337	0.0001786870965580398	1	0	0	0
1633971270	2.7416157062834946e-05	0.00020137274778233994	0.006965188588679684	0.011354166866215463	4.467177413950995e-05	0	0	0	0
2803810119	1.3948571137231814e-05	0.00110584356409285	0.0035829533162526216	0.01573913193400139	6.700766120926493e-05	0	0	0	0
2244770588	0.011403197397292822	0.08275737314370164	0.011334666004266847	0.0038006861924365577	0.005271269348462174	0	0	0	0
102071251	8.369142682339089e-05	0.0026690421824710144	0.00514782747693786	0.0013275582315315194	0.0004913895155346094	0	0	0	0
3358825450	8.224847118850484e-05	0.00046076815170535413	0.004125164502514425	0.020422941279015193	0.0	0	0	0	0
555940842	0.00010437379092342427	0.001416435429316459	0.03852242456498224	0.023719806670740654	0.00011167943534877488	0	0	0	0
2469354073	2.068236410003338e-05	0.00015358938390178472	0.00013350928706948933	3.4482031987831674e-05	0.0002680306448370597	0	0	1	0
360464656	9.547556450829363e-05	0.0028192184689527595	0.07441644180493658	0.02512399164002291	0.0003127024189765697	0	0	0	0
77243076	2.1644334523290746e-05	0.0006450754123874957	0.011188441547000265	7.662673775073705e-06	0.00022335887069754976	0	0	0	0
